source_id,source_name,relation,target_id,target_name,note,relation_type
149,dragon tooth,has_trait,1371,divine heirloom,Mentioned with Havel’s Greatshield; grants resistances.,narrative_reference
150,large club,used_by,1248,blighttown giants,Wielded by giant undead from the toxic swamp.,affiliation
150,large club,causes_effect,1322,poison,Became poisonous due to corrupted environment.,combat_effect
151,smough's hammer,forged_from,694,soul of smough,Great hammer crafted from the soul of the executioner.,origin
151,smough's hammer,used_by,54,executioner smough,He ground bones of victims into feed.,ownership
151,smough's hammer,associated_with,31,anor londo,Guards the cathedral in this city.,location
152,caestus,enhances,1052,bare hands,Augments unarmed combat with studded leather.,mechanic
152,caestus,scales_with,1307,strength,Damage output depends on user’s strength.,mechanic
153,claw,causes_effect,814,bleeding,Three sharp blades induce blood loss.,combat_effect
153,claw,used_by,1088,eastern spooks,Favored by stealthy agents from the East.,affiliation
154,dragon bone fist,forged_from,691,soul of iron golem,Created using the Iron Golem’s essence.,origin
154,dragon bone fist,contains,1222,dragon bones,Incorporates power from ancient dragon remains.,origin
155,dark hand,used_by,810,darkwraiths,Used to absorb humanity and block attacks.,affiliation
155,dark hand,absorbs,681,humanity,Drains essence from foes while blocking.,mechanic
155,dark hand,functions_as,1163,shield,Doubles as a defense mechanism.,mechanic
156,spear,weapon_type,156,spear,Standard polearm with long reach.,category
156,spear,used_with,1163,shield,Designed to thrust behind a guard.,mechanic
156,spear,effective_against,1062,hard exteriors,Piercing power makes it ideal vs. armored foes.,combat_effect
157,winged spear,has_trait,1225,barbed,Can deal high damage with precise timing.,attribute
158,partizan,has_trait,1066,adaptive blade,Slices can ricochet in tight areas.,attribute
159,demon's spear,originates_from,1257,batwing demon bones,Carved from demons that soar in Anor Londo.,origin
159,demon's spear,imbued_with,840,lightning,Charged with electricity for extra power.,attribute
160,channeler's trident,used_by,1260,six-eyed channelers,Wielded by magic-wielding channelers.,affiliation
160,channeler's trident,has_effect,1073,buff allies,Dance-like movement grants allies temporary strength.,combat_effect
161,silver knight spear,used_by,812,silver knights,Used by elite guards of Anor Londo.,affiliation
161,silver knight spear,associated_with,31,anor londo,Belongs to the city's holy defenders.,location
162,pike,has_trait,1415,very long reach,"Longest spear-type weapon, hard to handle.",attribute
163,dragonslayer spear,forged_from,692,soul of ornstein,Crafted from the soul of the dragonslayer.,origin
163,dragonslayer spear,causes_effect,1183,lightning damage,Inflicts lightning-based attacks.,combat_effect
163,dragonslayer spear,effective_against,818,dragons,Designed to slay dragon-type enemies.,combat_effect
164,moonlight butterfly horn,forged_from,693,soul of the moonlight butterfly,Weapon born from magical butterfly’s soul.,origin
164,moonlight butterfly horn,imbued_with,1296,pure magic,Deals strong magic-based damage.,attribute
165,halberd,weapon_type,1059,polearm,Versatile weapon with thrust and sweeping attacks.,category
165,halberd,requires,1353,strength and dexterity,Effective use depends on physical and agile stats.,mechanic
166,giant's halberd,used_by,1029,anor londo sentinels,Brass weapon wielded by giant guards.,affiliation
166,giant's halberd,imbued_with,840,lightning,Charged with electrical energy.,attribute
167,titanite catch pole,used_by,862,titanite demon,Rare weapon dropped by demon variant.,affiliation
167,titanite catch pole,has_trait,1441,enchanted,Possesses magical leap attack.,attribute
168,gargoyle's halberd,used_by,70,bell gargoyle,Weapon of the rooftop guardian.,affiliation
168,gargoyle's halberd,has_trait,1014,standard bronze,"Made of bronze, decent reach and swing.",attribute
169,black knight halberd,used_by,833,black knights,Powerful halberd with wide swings.,affiliation
170,lucerne,has_trait,1096,beak-like protrusion,Deals thrust damage via heavy head.,attribute
170,lucerne,causes_effect,841,thrust damage,Pierces with a downward motion.,combat_effect
171,scythe,modified_from,165,halberd,Altered for slashing instead of thrusting.,origin
172,great scythe,originates_from,1281,farming tool,Converted farming blade repurposed for combat.,origin
172,great scythe,causes_effect,1025,fear,Its terrifying shape intimidates enemies.,combat_effect
173,lifehunt scythe,forged_from,695,soul of priscilla,Weapon made from the hybrid's soul.,origin
173,lifehunt scythe,causes_effect,814,bleeding,Extremely high bleed build-up.,combat_effect
173,lifehunt scythe,harms,1420,wielder,Its cursed power drains user’s vitality.,mechanic
174,short bow,weapon_type,1063,bow,Basic bow for standard use.,category
174,short bow,can_use,1151,arrow types,Can swap arrow types as needed.,mechanic
175,longbow,weapon_type,1063,bow,Standard long-range weapon.,category
175,longbow,favored_by,1427,hunters,Used by skilled long-range fighters.,affiliation
176,black bow of pharis,used_by,870,pharis,Signature weapon of heroic long-range archer.,ownership
176,black bow of pharis,has_trait,1223,long range,Superior range compared to other bows.,attribute
177,dragonslayer greatbow,used_by,865,dragonslayers,Massive bow requiring great strength.,affiliation
177,dragonslayer greatbow,requires,250,dragonslayer arrows,Only usable with specialized arrows.,mechanic
178,composite bow,has_trait,1087,high power,Short-range bow with heavy draw weight.,attribute
178,composite bow,requires,1307,strength,Needs physical power to use.,mechanic
178,composite bow,ineffective_for,1203,sniping,Not suited for long-range precision.,mechanic
179,darkmoon bow,forged_from,696,soul of gwyndolin,Created from the soul of the Darkmoon deity.,origin
179,darkmoon bow,strongest_with,248,moonlight arrows,Reaches full potential when paired with these arrows.,mechanic
180,light crossbow,weapon_type,1007,crossbow,"One-handed ranged weapon, used by soldiers.",category
180,light crossbow,requires,1136,manual reloading,Needs manual reloading after each shot.,mechanic
181,heavy crossbow,weapon_type,1007,crossbow,Larger version with higher damage output.,category
181,heavy crossbow,requires,1378,manual bolt loading,Requires bolt to be manually inserted before firing.,mechanic
182,avelyn,created_by,866,eidas,Repeating crossbow crafted by artisan Eidas.,origin
182,avelyn,fires,989,triple bolts,Shoots three bolts at once.,mechanic
182,avelyn,has_trait,1140,lower damage per shot,Tradeoff for its rapid fire capabilities.,attribute
183,sniper crossbow,used_by,1079,carim snipers,Specialized crossbow for long-range precision.,affiliation
183,sniper crossbow,requires,1414,dexterity,Needs dexterity for effective handling.,mechanic
184,sorcerer's catalyst,used_by,871,vinheim dragon school,Catalyst taught and used by Vinheim scholars.,affiliation
184,sorcerer's catalyst,casts,1103,sorceries,Used to cast standard magical spells.,mechanic
185,beatrice's catalyst,used_by,42,witch beatrice,Catalyst linked to ancient rogue magic.,ownership
185,beatrice's catalyst,associated_with,1131,old sorceries,Power tied to pre-Vinheim arcane methods.,narrative_reference
186,tin banishment catalyst,used_by,1354,new londo banishment sorcerers,Special catalyst used in spirit expulsion.,affiliation
186,tin banishment catalyst,deals_damage,1130,physical,"Unlike others, deals actual physical damage.",combat_effect
187,logan's catalyst,used_by,774,big hat logan,Greatly empowered by his own skill.,ownership
187,logan's catalyst,has_trait,1226,extremely powerful,Enhanced output compared to standard catalysts.,attribute
188,tin darkmoon catalyst,used_by,69,dark sun gwyndolin,Used by the deity to channel magic.,affiliation
188,tin darkmoon catalyst,scales_with,1279,faith,Uses faith instead of intelligence.,mechanic
189,oolacile ivory catalyst,originates_from,869,oolacile,Catalyst from the long-lost magical kingdom.,origin
189,oolacile ivory catalyst,boosts,1263,sorcery adjustment,Increases spell effectiveness regardless of stats.,mechanic
190,tin crystallization ctlyst.,used_by,774,big hat logan,Used by Logan for high-level magic.,ownership
190,tin crystallization ctlyst.,has_trait,1442,halves sorcery uses,Massive power at the cost of casts.,mechanic
191,demon's catalyst,originates_from,868,izalith,Molten catalyst from the chaos city.,origin
191,demon's catalyst,functions_as,1154,fire weapon,Doubles as a weapon that deals fire damage.,combat_effect
192,izalith catalyst,originates_from,828,witch of izalith,Used before the creation of pyromancy.,origin
192,izalith catalyst,associated_with,1380,ancient sorcery,Tied to early forms of magical fire.,narrative_reference
194,pyromancy flame,used_by,1137,great swamp pyromancers,Used to channel and cast flame spells.,affiliation
194,pyromancy flame,associated_with,782,quelana of izalith,Flame passed from the mother of pyromancy.,narrative_reference
194,pyromancy flame,creates,1326,eternal bonds,Flame sharing is a sacred rite.,narrative_reference
194,pyromancy flame,associated_with,782,quelana of izalith,Represents link between flame and emotional ties.,narrative_reference
195,talisman,casts,1173,miracles,Basic casting tool for divine spells.,mechanic
195,talisman,issued_to,1305,believers,Distributed to faithful followers.,affiliation
196,canvas talisman,used_by,1138,pilgrim clerics,Designed for clerics on sacred journey.,affiliation
197,thorolund talisman,used_by,1255,high-ranking thorolund clerics,Advanced divine catalyst for miracles.,affiliation
197,thorolund talisman,boosts,1070,divine adjustment,Increases miracle effectiveness.,mechanic
198,ivory talisman,used_by,1008,female clerics,Tailored for women of faith.,affiliation
198,ivory talisman,scales_with,1279,faith,Miracle power based on faith stat.,mechanic
199,sunlight talisman,used_by,39,solaire of astora,Sacred catalyst of the sun warrior.,ownership
199,sunlight talisman,symbol_of,1145,unwavering faith,Represents Solaire’s devotion to the Sun.,narrative_reference
200,darkmoon talisman,granted_to,923,darkmoon blade knights,Given to knights of the Darkmoon covenant.,affiliation
200,darkmoon talisman,requires,1349,high faith,Effective use demands strong devotion.,mechanic
200,darkmoon talisman,boosts,1146,miracle adjustment,Grants high miracle effectiveness.,mechanic
201,velka's talisman,belongs_to,844,velka,Used by the Goddess of Sin.,ownership
201,velka's talisman,scales_with,1336,intelligence,Unique among talismans for INT-based scaling.,mechanic
202,skull lantern,used_by,873,catacombs necromancers,Used to illuminate and guide through darkness.,affiliation
202,skull lantern,emits,1128,light,Functions as a light source in dark areas.,mechanic
202,skull lantern,causes_effect,1379,fire damage,Can burn enemies despite its utility role.,combat_effect
203,east-west shield,has_design,1242,double-headed eagle,Wooden shield marked with a unique crest.,attribute
203,east-west shield,has_trait,1100,lightweight,"Lighter than metal shields, but with less defense.",attribute
204,wooden shield,has_design,1429,white dragon,Depicts the symbol of a mystical creature.,attribute
204,wooden shield,has_trait,1001,low stability,Offers little poise under sustained hits.,attribute
205,large leather shield,favored_by,1427,hunters,Preferred by those who value mobility.,affiliation
206,small leather shield,has_trait,1269,parry oriented,Designed for quick parry actions.,attribute
207,target shield,has_trait,1020,parry focused,Circular design enhances parrying.,attribute
208,buckler,has_trait,1324,parry protrusion,Central protrusion ideal for deflection.,attribute
209,cracked round shield,has_trait,1312,very low stability,Barely holds up under pressure.,attribute
210,leather shield,has_trait,1418,standard round,Common and widely available.,attribute
211,plank shield,has_trait,1091,minimal protection,Makeshift and barely effective in combat.,attribute
212,caduceus round shield,has_design,1175,blue caduceus,Decorated with magical staff symbol.,attribute
212,caduceus round shield,reduces_damage,863,magic,Provides some protection against spells.,combat_effect
213,crystal ring shield,originates_from,56,moonlight butterfly,Forged from the soul of a mystical being.,origin
213,crystal ring shield,emits,1003,crystal light rings,Releases magical projectiles in defense.,combat_effect
214,heater shield,has_trait,1037,100% physical block,Complete protection from standard attacks.,attribute
215,knight shield,standard_gear,1339,knights,Commonly equipped by noble warriors.,affiliation
216,tower kite shield,has_design,1124,tower symbol,Medium shield with distinctive crest.,attribute
217,grass crest shield,enhances,1126,stamina recovery,Improves stamina regeneration rate.,mechanic
217,grass crest shield,has_trait,1328,enchanted origin,Its effect comes from embedded magic.,attribute
218,hollow soldier shield,has_trait,1258,rusted but sturdy,Rough appearance yet reliable in combat.,attribute
219,balder shield,originates_from,1046,balder knights,Used by knights of the ancient kingdom.,affiliation
219,balder shield,has_trait,1217,good stability,Balances weight and defensive capability well.,attribute
220,crest shield,has_trait,1311,magic reduction,Blue enchanted shield that reduces magic damage.,combat_effect
221,dragon crest shield,has_trait,1153,fire reduction,Blue enchanted shield that reduces fire damage.,combat_effect
222,warrior's round shield,has_design,1323,labrys,"Decorated with the double-axe symbol, offers magic resistance.",attribute
223,iron round shield,used_by,785,shiva of the east,Heavy shield carried by the Eastern warrior.,affiliation
224,spider shield,originates_from,875,mountain bandits,Poison-resistant shield used by outlaws.,affiliation
224,spider shield,resists,1322,poison,Provides protection against toxins.,combat_effect
225,spiked shield,belongs_to,876,darkwraith kirk,His personal shield that causes bleeding.,ownership
225,spiked shield,causes_effect,814,bleeding,Inflicts bleed buildup when used as weapon.,combat_effect
226,crystal shield,has_trait,1164,crystallized,Extremely fragile and cannot be repaired.,attribute
226,crystal shield,has_limitation,1092,irreparable,"Once broken, cannot be restored.",mechanic
227,sunlight shield,belongs_to,39,solaire of astora,Shield of the sun-worshipping knight.,ownership
228,silver knight shield,used_by,812,silver knights,Holy shield blessed for divine combat.,affiliation
228,silver knight shield,has_trait,815,blessed,Carries divine enchantment.,attribute
229,black knight shield,used_by,833,black knights,Offers resistance to fire.,affiliation
229,black knight shield,resists,824,fire,Provides excellent defense against fire damage.,combat_effect
230,pierce shield,used_by,886,knights of catarina,Unique design allows it to be used as a weapon.,affiliation
230,pierce shield,can_be_used_as,1143,thrust weapon,Shield has central protrusion for piercing attacks.,mechanic
231,red and white round shield,crafted_in,837,lordran,"Made in the ancient land, inspired by archtrees.",origin
231,red and white round shield,resists,863,magic,Its wood reduces magic damage.,combat_effect
232,caduceus kite shield,has_design,1175,blue caduceus,Standard shield with magical symbol.,attribute
233,gargoyle's shield,used_by,1005,undead church gargoyle,"Shield with low physical reduction, rare for metal.",affiliation
233,gargoyle's shield,has_trait,1127,low physical reduction,Uncommon for a shield of its class.,attribute
234,eagle shield,has_design,1028,eagle,Lightest greatshield available.,attribute
234,eagle shield,can_be_used_as,994,bash tool,Greatshields cannot parry; they bash instead.,mechanic
235,tower shield,used_by,832,knight berenike,Enormous shield used by heavily armored knight.,ownership
236,giant shield,used_by,1029,anor londo sentinels,Bronze greatshield made for giants.,affiliation
236,giant shield,resists,1053,non-physical damage,Marcasite offers strong elemental defense.,combat_effect
237,stone greatshield,used_by,813,stone knight,Shield of the guardian of Darkroot Garden.,affiliation
237,stone greatshield,associated_with,18,darkroot garden,Imbued with ancient magic from this forest.,location
238,havel's greatshield,belongs_to,852,havel the rock,Legendary greatshield carved from a stone slab.,ownership
238,havel's greatshield,has_trait,1371,divine heirloom,Comparable in status to Dragon Tooth.,narrative_reference
239,bonewheel shield,has_trait,1148,spiked wheel,Shield with rotating spikes usable in offense.,attribute
239,bonewheel shield,used_by,1325,skeletons,Melded with undead enemies in the catacombs.,affiliation
240,greatshield of artorias,forged_from,689,soul of sif,Shield made from the soul of the great wolf.,origin
240,greatshield of artorias,associated_with,58,artorias the abysswalker,Guardian of the knight's resting place.,narrative_reference
240,greatshield of artorias,grants,1039,divine protection,Shields against multiple status effects.,combat_effect
241,whip,effective_against,1157,exposed skin,"Ineffective against armor, but good versus unprotected foes.",combat_effect
242,notched whip,causes_effect,814,bleeding,Inflicts heavy bleeding thanks to sharp barbs.,combat_effect
242,notched whip,effective_against,1157,exposed skin,"Much like standard whip, excels against flesh.",combat_effect
243,standard arrow,requires,1363,equipped to fire,Must be equipped before being used with a bow.,mechanic
244,large arrow,has_trait,1404,heavier = more damage,Heavy arrows deal more damage but reduce range.,mechanic
244,large arrow,has_limitation,1187,shorter range,Greater weight reduces projectile distance.,mechanic
245,feather arrow,used_by,880,lord's hunters,Long-range arrows ideal for sniping.,affiliation
245,feather arrow,has_trait,1223,long range,Effective for sniping due to reach.,attribute
246,fire arrow,causes_effect,1379,fire damage,Flaming tips ignite targets on contact.,combat_effect
247,poison arrow,causes_effect,1322,poison,Applies poison over time to the target.,combat_effect
248,moonlight arrow,granted_by,1316,covenant of dark sun gwyndolin,Bestowed on covenant members.,affiliation
248,moonlight arrow,causes_effect,1074,magic damage,Inflicts arcane damage with silver glow.,combat_effect
248,moonlight arrow,compatible_with,179,darkmoon bow,Designed to be used with this bow.,mechanic
249,wooden arrow,has_trait,1229,low cost,Cheap and efficient when used in volume.,attribute
250,dragonslayer arrow,used_by,768,hawkeye gough,Massive anti-dragon projectile.,affiliation
250,dragonslayer arrow,used_by,865,dragonslayers,Massive anti-dragon projectile.,affiliation
250,dragonslayer arrow,compatible_with,177,dragonslayer greatbow,Only usable with this bow.,mechanic
251,gough's great arrow,used_by,768,hawkeye gough,Crafted by and for the Four Knights' archer.,ownership
251,gough's great arrow,requires,996,greatbow,Fired exclusively from large bows.,mechanic
252,standard bolt,compatible_with,180,light crossbow,Standard ammo type for this weapon.,mechanic
253,heavy bolt,compatible_with,181,heavy crossbow,Powerful bolt with reduced range.,mechanic
253,heavy bolt,has_trait,1158,high damage,"Heavy impact, shorter flight.",attribute
254,sniper bolt,compatible_with,183,sniper crossbow,Designed for long-distance precision.,mechanic
254,sniper bolt,has_trait,1223,long range,Red feather bolt optimized for sniping.,attribute
255,wood bolt,has_trait,1229,low cost,Inexpensive ammo with limited power and range.,attribute
256,lightning bolt,imbued_with,840,lightning,Infused with electric energy.,attribute
256,lightning bolt,crafted_by,851,giant blacksmith,Forged from ancient specs in Anor Londo.,origin
257,effigy shield,resists,1095,divine,Defensive occult shield against divine powers.,combat_effect
257,effigy shield,resists,840,lightning,Defensive occult shield against divine powers.,combat_effect
257,effigy shield,associated_with,882,occult followers,Linked to a plot to destroy the gods.,narrative_reference
257,effigy shield,opposed_to,63,gravelord nito,Used in a failed attempt to steal his power.,narrative_reference
258,sanctus,granted_to,1235,way of white paladin,Sacred item with faint white flame blessing.,affiliation
258,sanctus,restores,1202,hp over time,Slow passive regeneration effect.,mechanic
259,bloodshield,has_trait,1402,boosts resistances,Enhances defense via red enchantment.,attribute
260,black iron greatshield,used_by,41,tarkus,Heavy fire-resistant shield.,ownership
260,black iron greatshield,resists,824,fire,Highly protective against flame attacks.,combat_effect
261,gold tracer,used_by,759,lord's blade ciaran,Golden curved sword for rapid strikes.,ownership
262,dark silver tracer,used_by,759,lord's blade ciaran,Poisonous dagger complementing the gold tracer.,ownership
262,dark silver tracer,causes_effect,1322,poison,Applies poison through stealthy attacks.,combat_effect
263,abyss greatsword,belongs_to,58,artorias,Weapon that reflects humanity and Abyss taint.,ownership
263,abyss greatsword,tainted_by,5,abyss,Tied to Artorias's fall and darkness.,narrative_reference
264,cleansing greatshield,used_by,58,artorias,Used to protect Sif from the Abyss.,ownership
264,cleansing greatshield,resists,863,magic,Still retains high magical defense.,combat_effect
265,stone greataxe,used_by,813,stone knights,Requires inhuman strength to wield.,affiliation
266,four-pronged plow,used_by,1385,forest sanctuary scarecrows,Improvised weapon from farming tool.,affiliation
266,four-pronged plow,has_trait,1178,sharp,Dangerous despite rustic design.,attribute
267,manus catalyst,forged_from,699,soul of manus,Old wooden catalyst used for dark sorceries.,origin
267,manus catalyst,boosts,1347,sorcery strength,Increases spell power but limits casts.,mechanic
267,manus catalyst,has_limitation,1067,fewer casts,Reduces number of sorcery uses.,mechanic
268,oolacile catalyst,originates_from,869,oolacile,Formed from enchanted branches.,origin
268,oolacile catalyst,boosts,1263,sorcery adjustment,Helps with lost land sorceries.,mechanic
268,oolacile catalyst,ineffective_with,1336,intelligence,Attacks are not boosted by INT.,mechanic
269,guardian tail,originates_from,57,sanctuary guardian,Severed tail from the toxic beast.,origin
269,guardian tail,causes_effect,1322,poison,Highly poisonous and flexible.,combat_effect
270,obsidian greatsword,originates_from,1192,tail of kalameet,Forged from the tail of the black dragon Kalameet.,origin
270,obsidian greatsword,has_trait,1288,mystical power,Unleashes magical energy when wielded two-handed.,attribute
271,gough's greatbow,used_by,768,hawkeye gough,Massive bow used for dragon hunting.,ownership
271,gough's greatbow,effective_against,818,dragons,Designed for use in dragon slaying.,combat_effect
272,catarina helm,part_of_set,877,catarina,"Iconic helm with onion shape, effective for parrying.",attribute
273,catarina armor,part_of_set,877,catarina,Matches helm with curved form and parrying use.,attribute
274,catarina gauntlets,part_of_set,877,catarina,Defense-focused part of the Catarina knight set.,attribute
275,catarina leggings,part_of_set,877,catarina,Lower armor piece known for its curved design.,attribute
276,paladin helm,belongs_to,44,paladin leeroy,Worn by Leeroy of the Way of White.,ownership
276,paladin helm,associated_with,258,sanctus,Tied to divine relics wielded by Leeroy.,narrative_reference
276,paladin helm,associated_with,147,grant,Tied to divine relics wielded by Leeroy.,narrative_reference
277,paladin armor,belongs_to,44,paladin leeroy,Armor from his divine crusade.,ownership
278,paladin gauntlets,belongs_to,44,paladin leeroy,Part of the gear from the first Undead mission.,ownership
279,paladin leggings,belongs_to,44,paladin leeroy,Worn for sacred quests under the Way of White.,ownership
280,dark mask,used_by,810,darkwraiths,Their mask fuses partially with the face.,affiliation
281,dark armor,represents,1109,lifedrain art,Armor symbolizing the soul-absorbing art of the Darkwraiths.,narrative_reference
282,dark gauntlets,used_by,810,darkwraiths,Gloves of the Lifedrain warriors.,affiliation
283,dark leggings,part_of_set,1403,darkwraith,Lower portion of the corrupted knight armor.,attribute
284,brigand hood,used_by,1041,mountain brigands,Provides protection and battlefield ID.,affiliation
285,brigand armor,has_trait,1228,mobility and defense,Balanced leather and metal construction.,attribute
286,brigand gauntlets,has_trait,1238,ambush-suited,Optimized for light surprise attacks.,attribute
287,brigand trousers,has_trait,1335,stealth and flexibility,Worn by ambushers for agility.,attribute
288,shadow mask,used_by,1236,eastern spies,Sacrifices defense for agility.,affiliation
289,shadow garb,has_trait,1382,mobility-focused,Suited for martial artists and light combat.,attribute
290,shadow gauntlets,resists,1322,poison,Provides resilience in espionage contexts.,combat_effect
290,shadow gauntlets,resists,814,bleed,Provides resilience in espionage contexts.,combat_effect
291,shadow leggings,has_trait,1244,lightweight for stealth,Part of a silent operative’s gear.,attribute
292,black iron helm,belongs_to,41,tarkus,"Heavy, fire-resistant helm of Tarkus.",ownership
293,black iron armor,belongs_to,41,tarkus,Main torso of the nearly immovable armor.,ownership
294,black iron gauntlets,resists,824,fire,Gauntlets designed to endure flames.,combat_effect
295,black iron leggings,part_of_set,1261,black iron set,Completes the heavy armor set of the legendary Tarkus.,attribute
295,black iron leggings,belongs_to,41,tarkus,"Part of the set worn by Tarkus, a renowned warrior.",ownership
296,smough's helm,part_of_set,1266,smough's set,"Part of Smough’s executioner armor, known for extreme defense.",attribute
296,smough's helm,belongs_to,54,executioner smough,"Worn by Smough, the brutal executioner of Anor Londo.",ownership
297,smough's armor,part_of_set,1266,smough's set,Main armor piece of the executioner Smough.,attribute
297,smough's armor,belongs_to,54,executioner smough,Massive golden armor worn by Smough in Anor Londo.,ownership
298,smough's gauntlets,part_of_set,1266,smough's set,Heavy gloves from Smough’s iconic armor.,attribute
298,smough's gauntlets,belongs_to,54,executioner smough,Gauntlets used by the Anor Londo executioner.,ownership
299,smough's leggings,part_of_set,1266,smough's set,Heavy lower armor worn by Smough.,attribute
299,smough's leggings,belongs_to,54,executioner smough,Completes Smough’s personal armor set.,ownership
300,six-eyed helm of the channelers,used_by,858,channelers,Worn by Seath’s agents; aids vision due to Seath's blindness.,affiliation
300,six-eyed helm of the channelers,associated_with,68,seath the scaleless,"Channelers served Seath, using these helms to compensate for his blindness.",narrative_reference
301,robe of the channelers,used_by,858,channelers,Robes of the agents who abducted test subjects for Seath.,affiliation
302,gauntlets of the channelers,used_by,858,channelers,Magic-infused gloves worn by Seath’s servants.,affiliation
303,waistcloth of the channelers,used_by,858,channelers,Lower magical armor worn by Channelers.,affiliation
304,helm of favor,belongs_to,47,lautrec,Helm symbolizing Lautrec’s devotion to the goddess Fina.,ownership
304,helm of favor,associated_with,915,fina,Represents Lautrec’s love for Fina.,narrative_reference
305,embraced armor of favor,belongs_to,47,lautrec,Golden armor with an embracing motif linked to Fina.,ownership
305,embraced armor of favor,associated_with,915,fina,Embodiment of the goddess Fina's love.,narrative_reference
306,gauntlets of favor,belongs_to,47,lautrec,Symbolizes devotion and abandonment for love.,ownership
307,leggings of favor,belongs_to,47,lautrec,Final armor piece representing Lautrec’s bond to Fina.,ownership
308,helm of the wise,belongs_to,762,domhnall of zena,"Horned helm worn by Domhnall, the eccentric merchant.",ownership
308,helm of the wise,originates_from,890,zena,Crafted in the ancient and mysterious land of Zena.,origin
309,armor of the glorious,belongs_to,762,domhnall of zena,Gold-plated armor covered in medals.,ownership
310,gauntlets of the vanquisher,belongs_to,762,domhnall of zena,Strange golden bracelets signifying conquest.,ownership
311,boots of the explorer,belongs_to,762,domhnall of zena,Boots with silver rings symbolizing exploration.,ownership
312,stone helm,used_by,813,stone knights,Magic-infused helm worn by Darkroot Garden defenders.,affiliation
312,stone helm,located_in,18,darkroot garden,Worn by enchanted defenders of the ancient forest.,location
313,stone armor,used_by,813,stone knights,"Enchanted, moss-covered armor from ancient magic.",affiliation
314,stone gauntlets,used_by,813,stone knights,Heavy gauntlets from the magically animated Stone Knights.,affiliation
315,stone leggings,used_by,813,stone knights,Leg armor belonging to ancient mossy knights.,affiliation
316,crystalline helm,used_by,1428,crystal hollow knight,Crystallized helm granting high defense.,affiliation
316,crystalline helm,has_trait,1086,crystal enhancement,Provides increased defense due to crystal structure.,attribute
317,crystalline armor,used_by,1428,crystal hollow knight,Body armor crystallized for increased protection.,affiliation
318,crystalline gauntlets,used_by,1428,crystal hollow knight,Crystallized gloves offering solid defense.,affiliation
319,crystalline leggings,used_by,1428,crystal hollow knight,Lower crystalline armor for a Hollowed knight.,affiliation
320,mask of the sealer,used_by,892,sealers,Worn by sorcerers who sealed away the Darkwraiths and the Four Kings.,affiliation
320,mask of the sealer,symbolizes,1205,atonement and resolve,Represents the Sealers' dedication to keeping the seal shut and their atonement.,narrative_reference
321,crimson robe,used_by,892,sealers,"Robe of sorcerers who sealed New Londo, formerly known as healers.",affiliation
321,crimson robe,symbolizes,1233,healing tradition,The crimson color recalls their origins as healers.,narrative_reference
322,crimson gloves,used_by,892,sealers,Gloves of the Sealers who performed the New Londo flooding ritual.,affiliation
323,crimson waistcloth,used_by,892,sealers,Lower garment worn during the sealing of the Darkwraiths.,affiliation
324,mask of velka,used_by,893,velka's pardoners,Worn by those who hear confessions and urge penance in Velka’s name.,affiliation
324,mask of velka,symbolizes,1417,detachment from worldly desires,The mask reflects their vow of spiritual separation.,narrative_reference
325,black cleric robe,used_by,893,velka's pardoners,"Robe infused with Velka’s power, worn by her agents.",affiliation
325,black cleric robe,resists,863,magic,The robe offers resistance to various forms of magic.,combat_effect
326,black manchette,resists,863,magic,Magically resistant gloves of Velka’s pardoners.,combat_effect
327,black tights,resists,863,magic,"Lower part of Velka’s attire, offers magical defense.",combat_effect
328,iron helm,belongs_to,39,solaire of astora,Standard-quality helm used by the Knight of Sunlight.,ownership
329,armor of the sun,belongs_to,39,solaire of astora,"Features a sun painted by Solaire, worn during his quest.",ownership
330,iron bracelet,belongs_to,39,solaire of astora,"Part of Solaire’s knightly set, high craftsmanship.",ownership
331,iron leggings,belongs_to,39,solaire of astora,Used by Solaire during his journey for his own sun.,ownership
332,chain helm,has_trait,1044,reliable defense,Common helm providing balanced protection.,attribute
333,chain armor,has_trait,1044,reliable defense,Widespread armor known for its consistent quality.,attribute
334,leather gauntlets,has_trait,1056,flexibility,Soft leather construction ideal for mobility.,attribute
335,chain leggings,has_trait,1044,reliable defense,Lower armor completing the standard chain set.,attribute
336,cleric helm,used_by,1359,warrior clerics,Heavy helm of those in the Way of White.,affiliation
337,cleric armor,used_by,1359,warrior clerics,Protective garb for the faithful in battle.,affiliation
338,cleric gauntlets,used_by,1359,warrior clerics,Heavy gloves from the Way of White’s battle gear.,affiliation
339,cleric leggings,used_by,1359,warrior clerics,Substantial lower armor for clerics.,affiliation
340,sunlight maggot,originates_from,14,lost izalith,Parasitic creature native to Lost Izalith.,origin
340,sunlight maggot,emits,1002,blinding light,"Glows when worn on the head, useful in dark areas.",attribute
341,helm of thorns,belongs_to,45,kirk,Damages enemies when rolling; part of Kirk’s armor.,ownership
342,armor of thorns,belongs_to,45,kirk,Covered in spikes to inflict damage when rolling.,ownership
343,gauntlets of thorns,belongs_to,45,kirk,Spiked gloves for damaging enemies through movement.,ownership
344,leggings of thorns,belongs_to,45,kirk,Complete Kirk’s aggressive armor set.,ownership
345,standard helm,part_of_set,1421,standard set,Standard iron helm with good defense.,attribute
346,hard leather armor,part_of_set,1201,hard leather set,Common armor providing solid defense.,attribute
347,hard leather gauntlets,part_of_set,1201,hard leather set,Thick leather gauntlets from the same set.,attribute
